year_quarter (연분기),rep_id (담당자ID),rep_name (담당자명),territory_code (영업권역코드),brand (브랜드),amount_pre_share (쉐어전금액),amount_post_share (쉐어후금액),ship_count (출고건수),share_applied_count (룰적용건수),direct_rules_count (직접룰건수),extended_rules_count (연장룰건수),none_rules_count (미적용건수),data_quality_flag (데이터품질플래그)
2025-Q1,RC001,최유정,T01,가브스정,67688821.0,67688821.0,6,6,6,0,0,fail
2025-Q1,RC001,최유정,T01,글루코파지정,16673392.0,16673392.0,7,7,7,0,0,fail
2025-Q1,RC001,최유정,T01,네시나정,18330690.0,18330690.0,3,3,3,0,0,fail
2025-Q1,RC001,최유정,T01,넥시움정,15724415.0,15724415.0,4,4,4,0,0,fail
2025-Q1,RC001,최유정,T01,디아미크롱서방정,8961600.0,8961600.0,2,2,2,0,0,fail
2025-Q1,RC001,최유정,T01,로수젯정,30428337.0,30428337.0,4,4,4,0,0,fail
2025-Q1,RC001,최유정,T01,록소르정,4950000.0,4950000.0,1,1,1,0,0,fail
2025-Q1,RC001,최유정,T01,리피토정,8085681.0,8085681.0,3,3,3,0,0,fail
2025-Q1,RC001,최유정,T01,서스펜정,10886541.0,10886541.0,3,3,3,0,0,fail
2025-Q1,RC001,최유정,T01,세파클러캡슐,4158400.0,4158400.0,2,2,2,0,0,fail
2025-Q1,RC001,최유정,T01,아모잘탄정,16922397.0,16922397.0,3,3,3,0,0,fail
2025-Q1,RC001,최유정,T01,아토르바정,30254819.0,30254819.0,5,5,5,0,0,fail
2025-Q1,RC001,최유정,T01,아토젯정,51522174.0,51522174.0,3,3,3,0,0,fail
2025-Q1,RC001,최유정,T01,엑스포지정,61358854.0,61358854.0,9,9,9,0,0,fail
2025-Q1,RC001,최유정,T01,올메텍정,34741480.0,34741480.0,5,5,5,0,0,fail
2025-Q1,RC001,최유정,T01,자누비아정,95066000.0,95066000.0,4,4,4,0,0,fail
2025-Q1,RC001,최유정,T01,카나브정,380700.0,380700.0,1,1,1,0,0,fail
2025-Q1,RC001,최유정,T01,타미플루캡슐,16033500.0,16033500.0,2,2,2,0,0,fail
2025-Q1,RC001,최유정,T01,트라젠타정,3402800.0,3402800.0,3,3,3,0,0,fail
2025-Q1,RC001,최유정,T01,플라빅스정,29484000.0,29484000.0,2,2,2,0,0,fail
2025-Q1,RC002,김수아,T01,가브스정,10396400.0,10396400.0,4,4,4,0,0,fail
2025-Q1,RC002,김수아,T01,글루코파지정,18987924.0,18987924.0,4,4,4,0,0,fail
2025-Q1,RC002,김수아,T01,네시나정,33829768.0,33829768.0,5,5,5,0,0,fail
2025-Q1,RC002,김수아,T01,넥시움정,18382182.0,18382182.0,2,2,2,0,0,fail
2025-Q1,RC002,김수아,T01,디아미크롱서방정,14372400.0,14372400.0,5,5,5,0,0,fail
2025-Q1,RC002,김수아,T01,로수젯정,80750979.0,80750979.0,9,9,9,0,0,fail
2025-Q1,RC002,김수아,T01,록소르정,6317200.0,6317200.0,2,2,2,0,0,fail
2025-Q1,RC002,김수아,T01,리피토정,9996705.0,9996705.0,3,3,3,0,0,fail
2025-Q1,RC002,김수아,T01,서스펜정,4188360.0,4188360.0,4,4,4,0,0,fail
2025-Q1,RC002,김수아,T01,세파클러캡슐,11989100.0,11989100.0,4,4,4,0,0,fail
2025-Q1,RC002,김수아,T01,아모잘탄정,1744200.0,1744200.0,1,1,1,0,0,fail
2025-Q1,RC002,김수아,T01,아토르바정,1032400.0,1032400.0,1,1,1,0,0,fail
2025-Q1,RC002,김수아,T01,아토젯정,51796773.0,51796773.0,5,5,5,0,0,fail
2025-Q1,RC002,김수아,T01,엑스포지정,33914996.0,33914996.0,4,4,4,0,0,fail
2025-Q1,RC002,김수아,T01,올메텍정,11771706.0,11771706.0,3,3,3,0,0,fail
2025-Q1,RC002,김수아,T01,자누비아정,108810000.0,108810000.0,2,2,2,0,0,fail
2025-Q1,RC002,김수아,T01,카나브정,3232584.0,3232584.0,2,2,2,0,0,fail
2025-Q1,RC002,김수아,T01,타미플루캡슐,6591200.0,6591200.0,2,2,2,0,0,fail
