year (연도),rep_id (담당자ID),rep_name (담당자명),territory_code (영업권역코드),brand (브랜드),amount_pre_share (쉐어전금액),amount_post_share (쉐어후금액),ship_count (출고건수),share_applied_count (룰적용건수),direct_rules_count (직접룰건수),extended_rules_count (연장룰건수),none_rules_count (미적용건수),data_quality_flag (데이터품질플래그)
2025,RC001,최유정,T01,가브스정,100030718.0,100030718.0,13,13,13,0,0,pass
2025,RC001,최유정,T01,글루코파지정,65793277.0,65793277.0,19,19,19,0,0,pass
2025,RC001,최유정,T01,네시나정,91046802.0,91046802.0,10,10,10,0,0,pass
2025,RC001,최유정,T01,넥시움정,20171615.0,20171615.0,8,8,8,0,0,pass
2025,RC001,최유정,T01,디아미크롱서방정,15582600.0,15582600.0,4,4,4,0,0,pass
2025,RC001,최유정,T01,로수젯정,64536708.0,64536708.0,9,9,9,0,0,pass
2025,RC001,최유정,T01,록소르정,38411000.0,38411000.0,17,17,17,0,0,pass
2025,RC001,최유정,T01,리피토정,37107945.0,37107945.0,12,12,12,0,0,pass
2025,RC001,최유정,T01,서스펜정,46508988.0,46508988.0,17,17,17,0,0,pass
2025,RC001,최유정,T01,세파클러캡슐,26044200.0,26044200.0,9,9,9,0,0,pass
2025,RC001,최유정,T01,아모잘탄정,113468542.0,113468542.0,16,16,16,0,0,pass
2025,RC001,최유정,T01,아토르바정,72007987.0,72007987.0,17,17,17,0,0,pass
2025,RC001,최유정,T01,아토젯정,137890179.0,137890179.0,14,14,14,0,0,pass
2025,RC001,최유정,T01,엑스포지정,151725303.0,151725303.0,19,19,19,0,0,pass
2025,RC001,최유정,T01,올메텍정,59627369.0,59627369.0,15,15,15,0,0,pass
2025,RC001,최유정,T01,자누비아정,249212000.0,249212000.0,18,18,18,0,0,pass
2025,RC001,최유정,T01,카나브정,64848075.0,64848075.0,12,12,12,0,0,pass
2025,RC001,최유정,T01,타미플루캡슐,75536000.0,75536000.0,11,11,11,0,0,pass
2025,RC001,최유정,T01,트라젠타정,26658400.0,26658400.0,17,17,17,0,0,pass
2025,RC001,최유정,T01,플라빅스정,200718000.0,200718000.0,16,16,16,0,0,pass
2025,RC002,김수아,T01,가브스정,87314248.0,87314248.0,14,14,14,0,0,pass
2025,RC002,김수아,T01,글루코파지정,31271592.0,31271592.0,6,6,6,0,0,pass
2025,RC002,김수아,T01,네시나정,106779411.0,106779411.0,11,11,11,0,0,pass
2025,RC002,김수아,T01,넥시움정,72470979.0,72470979.0,12,12,12,0,0,pass
2025,RC002,김수아,T01,디아미크롱서방정,39677600.0,39677600.0,11,11,11,0,0,pass
